Run,LocalTime,Time,Altitude,Distance,HeartRate,Speed,VerticalSpeed,Cadence
One,2016-10-02 16:21:27,2.85,23,512,121,3.1,0.03,82
One,2016-10-02 16:21:28,2.87,23,515,122,3.1,0.03,87
One,2016-10-02 16:21:29,2.88,23,519,122,3.1,0.01,80
One,2016-10-02 16:21:30,2.90,23,521,123,3.1,0.01,82
One,2016-10-02 16:21:31,2.92,23,524,124,3.1,0.01,81
One,2016-10-02 16:21:32,2.93,23,527,124,3.1,0.01,82
One,2016-10-02 16:21:33,2.95,23,529,124,3,0,81
One,2016-10-02 16:21:34,2.97,22,532,124,3,0,83
One,2016-10-02 16:21:35,2.98,22,535,124,3,0,84
One,2016-10-02 16:21:36,3.00,22,538,126,3,0,84
One,2016-10-02 16:21:37,3.02,22,541,127,3,0,84
One,2016-10-02 16:21:38,3.03,22,545,127,3.1,0,90
One,2016-10-02 16:21:39,3.05,22,548,127,3.1,-0.01,82
One,2016-10-02 16:21:40,3.07,22,551,125,3.1,-0.01,83
One,2016-10-02 16:21:41,3.08,22,554,122,3.1,-0.01,82
One,2016-10-02 16:21:42,3.10,22,557,121,3,-0.03,81
One,2016-10-02 16:21:43,3.12,22,559,121,3,-0.03,81
One,2016-10-02 16:21:44,3.13,22,562,121,3,-0.03,83
One,2016-10-02 16:21:45,3.15,22,564,122,3,-0.05,83
One,2016-10-02 16:21:46,3.17,21,567,122,2.9,-0.05,83
One,2016-10-02 16:21:47,3.18,21,569,123,2.9,-0.05,89
One,2016-10-02 16:21:48,3.20,21,572,122,2.9,-0.05,82
One,2016-10-02 16:21:49,3.22,21,575,122,2.9,-0.05,82
One,2016-10-02 16:21:50,3.23,21,578,121,2.9,-0.05,82
One,2016-10-02 16:21:51,3.25,21,581,121,3,-0.06,82
One,2016-10-02 16:21:52,3.27,21,584,121,3,-0.06,82
One,2016-10-02 16:21:53,3.28,21,588,121,3,-0.06,82
One,2016-10-02 16:21:54,3.30,21,591,121,3,-0.06,82
One,2016-10-02 16:21:55,3.32,21,594,121,3,-0.05,81
One,2016-10-02 16:21:56,3.33,21,598,122,3,-0.05,82
One,2016-10-02 16:21:57,3.35,21,601,122,3.1,-0.05,82
One,2016-10-02 16:21:58,3.37,21,604,122,3.1,-0.05,82
One,2016-10-02 16:21:59,3.38,21,607,122,3.1,-0.05,82
One,2016-10-02 16:22:00,3.40,21,610,122,3,-0.05,83
One,2016-10-02 16:22:01,3.42,21,613,121,3,-0.05,84
One,2016-10-02 16:22:02,3.43,21,617,121,3,-0.05,84
One,2016-10-02 16:22:03,3.45,21,620,121,3,-0.05,84
One,2016-10-02 16:22:04,3.47,21,622,121,3,-0.03,84
One,2016-10-02 16:22:05,3.48,21,626,122,3,-0.03,84
One,2016-10-02 16:22:06,3.50,20,629,123,3.1,-0.03,90
One,2016-10-02 16:22:07,3.52,20,632,123,3.1,-0.03,87
One,2016-10-02 16:22:08,3.53,21,635,123,3.1,-0.03,80
One,2016-10-02 16:22:09,3.55,20,638,122,3.1,-0.03,81
One,2016-10-02 16:22:10,3.57,20,641,121,3,-0.03,81
One,2016-10-02 16:22:11,3.58,20,643,121,3,-0.03,81
One,2016-10-02 16:22:12,3.60,20,646,121,3,-0.03,81
One,2016-10-02 16:22:13,3.62,20,649,121,3,-0.05,82
One,2016-10-02 16:22:14,3.63,20,652,121,3,-0.05,82
One,2016-10-02 16:22:15,3.65,20,655,122,3,-0.05,82
One,2016-10-02 16:22:16,3.67,21,657,123,3,-0.05,82
One,2016-10-02 16:22:17,3.68,21,660,124,3,-0.05,82
One,2016-10-02 16:22:18,3.70,21,663,124,3,-0.03,82
One,2016-10-02 16:22:19,3.72,21,666,125,3,-0.03,82
One,2016-10-02 16:22:20,3.73,21,669,124,3,-0.03,82
One,2016-10-02 16:22:21,3.75,21,671,123,3,-0.03,82
One,2016-10-02 16:22:22,3.77,21,674,121,3,-0.03,81
One,2016-10-02 16:22:23,3.78,21,677,120,3,-0.03,81
One,2016-10-02 16:22:24,3.80,21,679,120,3,-0.01,82
One,2016-10-02 16:22:25,3.82,21,682,120,3,-0.01,87
One,2016-10-02 16:22:26,3.83,21,685,121,3,-0.01,80
One,2016-10-02 16:22:27,3.85,20,688,122,3,-0.01,81
One,2016-10-02 16:22:28,3.87,20,690,122,3,-0.01,81
One,2016-10-02 16:22:29,3.88,20,693,121,3,-0.01,82
One,2016-10-02 16:22:30,3.90,20,696,120,3,0,81
One,2016-10-02 16:22:31,3.92,20,698,120,3,0,82
One,2016-10-02 16:22:32,3.93,20,701,119,2.9,0,82
One,2016-10-02 16:22:33,3.95,20,703,119,2.9,0,82
One,2016-10-02 16:22:34,3.97,20,703,118,2.9,0,82
One,2016-10-02 16:22:35,3.98,20,707,118,2.9,0,82
One,2016-10-02 16:22:36,4.00,20,709,118,2.8,0,82
One,2016-10-02 16:22:37,4.02,20,711,119,2.8,0,80
One,2016-10-02 16:22:38,4.03,20,714,120,2.8,0,80
One,2016-10-02 16:22:39,4.05,20,717,120,2.8,0,80
One,2016-10-02 16:22:40,4.07,20,719,120,2.8,0,81
One,2016-10-02 16:22:41,4.08,20,722,120,2.8,-0.01,86
One,2016-10-02 16:22:42,4.10,20,725,120,2.8,-0.01,81
One,2016-10-02 16:22:43,4.12,19,728,121,2.8,-0.01,82
One,2016-10-02 16:22:44,4.13,19,730,121,2.8,-0.01,87
One,2016-10-02 16:22:45,4.15,19,733,121,2.8,-0.01,80
One,2016-10-02 16:22:46,4.17,19,735,122,2.8,-0.01,82
One,2016-10-02 16:22:47,4.18,19,738,122,2.8,-0.03,82
One,2016-10-02 16:22:48,4.20,19,740,122,2.8,-0.03,82
One,2016-10-02 16:22:49,4.22,19,743,122,2.8,-0.03,83
One,2016-10-02 16:22:50,4.23,19,746,123,2.8,-0.05,83
One,2016-10-02 16:22:51,4.25,19,749,123,2.8,-0.05,83
One,2016-10-02 16:22:52,4.27,19,752,124,2.8,-0.05,83
One,2016-10-02 16:22:53,4.28,19,755,124,2.8,-0.05,83
One,2016-10-02 16:22:54,4.30,19,758,124,2.8,-0.06,84
One,2016-10-02 16:22:55,4.32,19,761,125,2.8,-0.06,83
One,2016-10-02 16:22:56,4.33,19,765,126,2.8,-0.06,82
One,2016-10-02 16:22:57,4.35,19,768,126,2.8,-0.06,82
One,2016-10-02 16:22:58,4.37,19,771,126,2.8,-0.05,82
One,2016-10-02 16:22:59,4.38,19,774,125,2.8,-0.05,83
One,2016-10-02 16:23:00,4.40,19,776,125,2.8,-0.05,83
One,2016-10-02 16:23:01,4.42,19,779,125,2.8,-0.05,82
One,2016-10-02 16:23:02,4.43,19,783,126,2.9,-0.05,83
One,2016-10-02 16:23:03,4.45,18,785,126,2.9,-0.05,88
One,2016-10-02 16:23:04,4.47,18,788,126,2.9,-0.05,82
One,2016-10-02 16:23:05,4.48,18,791,125,2.8,-0.05,84
One,2016-10-02 16:23:06,4.50,18,793,125,2.8,-0.03,81
One,2016-10-02 16:23:07,4.52,18,796,125,2.8,-0.03,82
