Employer,CEO,Gender,CEO_Compensation,Median_Worker_Comp,Ratio,Company_Rating,CEO_Compensation_($000)
"Coca-Cola Enterprises, Inc.","John Franklin Brock, III",male,11267498,49008,230,3.1,1126.7498
Wells Fargo,John G. Stumpf,male,21426391,44265,484,3.3,2142.6391
McKesson,John H. Hammergren,male,25919882,83491,310,3.2,2591.9882
eBay,"John J. Donahoe, II",male,14050057,132220,106,3.6,1405.0057
Nucor,John J. Ferriola,male,8941639,70469,127,3.4,894.1639
Union Pacific,John J. Koraleski,male,28144047,73351,384,3.5,2814.4047
F5 Networks,John McAdam,male,8143742,138403,59,4.2,814.3742
Con Edison,John McAvoy,male,9685688,97700,99,2.9,968.5688
J.B. Hunt,"John N. Roberts, III",male,4346470,52106,83,3.4,434.647
People's United Bank,John P. Barnes,male,3698121,35000,106,2.9,369.8121
The Hershey Company,John P. Bilbrey,male,17777401,55092,323,3.7,1777.7401
Altera,John P. Daane,male,7248710,141035,51,3.4,724.871
C.H. Robinson Worldwide,John P. Wiehoff,male,5029488,46634,108,3.1,502.9488
Devon Energy,John Richels,male,21611030,82905,261,3.8,2161.103
Prudential,John Robert Strangfeld,male,37483092,72771,515,3.5,3748.3092
Cisco Systems,John T. Chambers,male,16488184,138861,119,3.7,1648.8184
FMC Technologies,John T. Gremp,male,13892357,84149,165,3.2,1389.2357
International Paper,John V. Faraci,male,16032223,67360,238,3.5,1603.2223
Legg Mason,Joseph A. Sullivan,male,11548620,91734,126,3.6,1154.862
Perrigo,Joseph C. Papa,male,18945540,61967,306,3.4,1894.554
State Street,Joseph L. Hooley,male,18842196,50921,370,2.9,1884.2196
Pepco Holdings,Joseph M. Rigby,male,7227146,83510,87,3.2,722.7146
EMC,Joseph M. Tucci,male,11203318,116674,96,3.7,1120.3318
Anthem,Joseph R. Swedish,male,13532549,74000,183,3.4,1353.2549
Valero Energy,Joseph W. Gorder,male,16056949,77158,208,3.7,1605.6949
Zoetis,Juan Ramn Alaix,male,7636726,114000,67,3.1,763.6726
American Express,K.I. Chenault,male,22796083,108598,210,3.7,2279.6083
Rockwell Automation,Keith D. Nosbusch,male,8473582,83739,101,3.7,847.3582
Harley-Davidson,Keith E. Wandell,male,9183690,80833,114,3,918.369
Masco,Keith J. Allman,male,4750833,61790,77,3.1,475.0833
BB&T,Kelly S. King,male,14118763,45002,314,3.2,1411.8763
General Mills,Kendall J. Powell,male,11604484,83273,139,3.5,1160.4484
Merck,Kenneth C. Frazier,male,25029370,110183,227,3.2,2502.937
Scripps Networks Interactive,Kenneth W. Lowe,male,11838015,77074,154,3.5,1183.8015
DaVita,Kent J. Thiry,male,13791023,61000,226,3.1,1379.1023
Stryker,Kevin A. Lobo,male,9120147,79045,115,3.9,912.0147
Under Armour,Kevin A. Plank,male,3556190,36130,98,3.6,355.619
SCANA,Kevin B. Marsh,male,5710448,71079,80,3.5,571.0448
Kohl's,Kevin Mansell,male,9668796,23210,417,3.2,966.8796
Fifth Third,Kevin T. Kabat,male,7427396,45945,162,3.2,742.7396
Alcoa,"Klaus-Christian Kleinfeld, Ph.D., rer. pol., Dipl.",male,18158522,70158,259,3.2,1815.8522
Bristol-Myers Squibb,Lamberto Andreotti,male,27062382,123310,219,3.7,2706.2382
Dr Pepper Snapple Group,Larry D. Young,male,9671181,50867,190,3.1,967.1181
Principal Financial Group,Larry D. Zimpleman,male,16919388,67868,249,3.9,1691.9388
CVS Health,Larry J. Merlo,male,32350733,27139,1192,2.7,3235.0733
BlackRock,Laurence D. Fink,male,23862458,124361,192,3.6,2386.2458
Pall,Lawrence D. Kingsley,male,9471578,88530,107,2.6,947.1578
Oracle,Lawrence J. Ellison,male,67261251,117415,573,3.3,6726.1251
Newfield Exploration,Lee K. Boothby,male,6716841,112337,60,3.1,671.6841
Marathon Oil,Lee M. Tillman,male,11498067,119176,96,3,1149.8067
Entergy,Leo P. Denault,male,11824034,77991,152,3.2,1182.4034
Regeneron Pharma.,Leonard S. Schleifer,male,41965424,79332,529,3.8,4196.5424
L Brands,Leslie H. Wexner,female,24094036,61260,393,3.6,2409.4036
CBS Corp,Leslie Moonves,female,57175645,66365,862,3.5,5717.5645
Goldman Sachs,Lloyd C. Blankfein,male,22162912,107205,207,3.8,2216.2912
Linear Technology,Lothar Maier,male,6386772,102429,62,3.8,638.6772
United Technologies,Louis R. Chenevert,male,27107982,85863,316,3.3,2710.7982
Verizon,Lowell C. McAdam,male,18306509,88062,208,3.3,1830.6509
Duke Energy,Lynn J. Good,female,8305351,78259,106,3.6,830.5351
Ingersoll Rand,M. W. Lamach,male,19417506,74458,261,3.4,1941.7506
Pitney Bowes,Marc B. Lautenbach,male,6966360,70647,99,3.2,696.636
Salesforce,Marc Benioff,male,31333332,151512,207,3.9,3133.3332
Thermo Fisher Scientific,Marc N. Casper,male,17446957,79898,218,3.2,1744.6957
Hewlett-Packard,Margaret C. Whitman,female,19612164,103632,189,3.3,1961.2164
Lockheed Martin,Marillyn A. Hewson,female,33687442,85465,394,3.5,3368.7442
Yahoo,Marissa A. Mayer,female,42083508,137011,307,3.5,4208.3508
Flowserve,Mark A. Blinn,male,7660592,74235,103,3.2,766.0592
Citrix Systems,Mark B. Templeton,male,7883614,113997,69,3.6,788.3614
Mallinckrodt Pharmaceuticals,Mark Christopher Trudeau,male,6502676,96995,67,2.7,650.2676
Precision Castparts,Mark Donegan,male,9699876,71460,136,2.9,969.9876
Ford Motor Company,Mark Fields,male,18596497,90050,207,3.7,1859.6497
NIKE,Mark G. Parker,male,16819730,44073,382,4,1681.973
Eastman Chemical,Mark J. Costa,male,7851406,83722,94,4.5,785.1406
Aetna,Mark T. Bertolini,male,15067322,67873,222,3.3,1506.7322
Lam Research,Martin B. Anstice,male,15009218,109247,137,3.8,1500.9218
Altria,Martin J. Barrington,male,12320990,79572,155,3.7,1232.099
Invesco,Martin L. Flanagan,male,15622002,66082,236,3.7,1562.2002
Paychex,Martin Mucci,male,6006823,60285,100,3.6,600.6823
Baker Hughes,Martin S. Craighead,male,14709830,86844,169,3.5,1470.983
Frontier Communications,Mary Agnes Wilderotter,female,9158907,65500,140,3,915.8907
General Motors,Mary T. Barra,female,16162828,93165,173,3.5,1616.2828
Edwards Lifesciences,Michael A. Mussallem,male,8616570,95528,90,3.1,861.657
Newell Rubbermaid,Michael B. Polk,male,12351559,77724,159,3.1,1235.1559
Teradata,Michael F. Koehler,male,6448133,117352,55,3.4,644.8133
Boston Scientific,Michael F. Mahoney,male,10527884,95860,110,3.6,1052.7884
Interpublic Group,Michael I. Roth,male,12899339,73553,175,3.5,1289.9339
United Rentals,Michael J. Kneeland,male,8402819,61105,138,3.5,840.2819
Tiffany & Co.,Michael J. Kowalski,male,8101758,61260,132,2.9,810.1758
Essex Property Trust,Michael J. Schall,male,2764573,60000,46,2.9,276.4573
CSX,Michael J. Ward,male,10068089,66161,152,3.5,1006.8089
Citi,Michael L. Corbat,male,14457199,99666,145,3.3,1445.7199
Airgas,Michael L. Molinini,male,4302807,55580,77,2.6,430.2807
CA Technologies,Michael P. Gregoire,male,8344222,122520,68,3.2,834.4222
XL Group,Michael S. McGavick,male,11734396,102013,115,3.6,1173.4396
L-3 Communications,Michael T. Strianese,male,14765393,81804,180,3.2,1476.5393
AutoNation,Mike Jackson,male,10606596,52103,204,3.2,1060.6596
Abbott Labs,Miles D. White,male,17732241,101178,175,3.5,1773.2241
Nielsen,Mitch Barns,male,6957892,71646,97,3.6,695.7892
Xilinx,Moshe N. Gavrielov,male,6471480,141448,46,3.4,647.148
Coca-Cola Company,Muhtar Kent,male,25224422,54804,460,3.3,2522.4422
Cummins,N. T. Linebarger,male,14784555,79442,186,3.9,1478.4555
ADT Security Services,Naren K. Gursahaney,male,5465388,51050,107,2.5,546.5388
Cerner,Neal L. Patterson,male,6599410,65000,102,3.6,659.941
CONSOL Energy,Nicholas J. DeIuliis,male,8326097,78004,107,2.5,832.6097
AEP,Nicholas K. Akins,male,11373520,78590,145,3.7,1137.352
Snap-on,Nicholas T. Pinchuk,male,9540993,72194,132,3.3,954.0993
Regions Financial,"O. B. Grayson Hall, Jr.",male,14421247,37683,383,3.5,1442.1247
Medtronic,Omar Ishrak,male,12118846,96005,126,3.7,1211.8846
Schlumberger,Paal Kibsgaard,male,18518374,94443,196,3.5,1851.8374
ADM,Patricia Woertz,female,17022941,61130,278,3.3,1702.2941
Xylem,Patrick K. Decker,male,8227869,74974,110,2.9,822.7869
Brown-Forman,Paul C. Varga,male,12259150,96468,127,4.2,1225.915
E*TRADE Financial,Paul T. Idzik,male,5258458,70561,75,2.9,525.8458
Mead Johnson,Peter Kasper Jakobsen,male,8369158,100267,83,3.3,836.9158
General Dynamics,Phebe N. Novakovic,female,19388084,86404,224,3.4,1938.8084
Viacom,Philippe P. Dauman,male,44334858,82094,540,3.6,4433.4858
TSYS,Phillip W. Tomlinson,male,5440198,67304,81,3.2,544.0198
CME Group,Phupinder S. Gill,male,5368575,105163,51,3.5,536.8575
Accenture,Pierre Nanterme,male,15925463,89848,177,3.6,1592.5463
FMC,Pierre R. Brondeau,male,5117145,89500,57,2.8,511.7145
Anadarko Petroleum,R. A. Walker,male,20720187,110626,187,4.4,2072.0187
Hospital Corporation of America,R. Milton Johnson,male,14625513,61000,240,3.4,1462.5513
ConocoPhillips,R.M. Lance,male,27575900,103296,267,3.8,2757.59
ExxonMobil,R.W. Tillerson,male,33096312,108000,306,3.7,3309.6312
Endo Pharmaceuticals,Rajiv De Silva,male,22071596,115588,191,2.8,2207.1596
Sigma-Aldrich,Rakesh Sachdev,male,5630524,66000,85,3,563.0524
PSEG,"Ralph Izzo, Ph.D.",male,11014644,93008,118,3.2,1101.4644
Polo Ralph Lauren,Ralph Lauren,male,24537936,47452,517,3.3,2453.7936
Comerica,"Ralph W. Babb, Jr.",male,11311926,51025,222,3.3,1131.1926
Pentair,Randall J. Hogan,male,14836702,82097,181,2.9,1483.6702
AT&T,Randall L. Stephenson,male,23984315,67302,356,3.3,2398.4315
Moody's,"Raymond W. McDaniel, Jr.",male,14099502,103208,137,3.6,1409.9502
Netflix,Reed Hastings,male,11063926,134721,82,3.6,1106.3926
AbbVie,Richard A. Gonzalez,male,22006271,104366,211,3.6,2200.6271
Hanesbrands,Richard A. Noll,male,11116508,58000,192,3.3,1111.6508
Freeport-McMoRan Copper & Gold,Richard C. Adkerson,male,10123035,74154,137,3.9,1012.3035
Royal Caribbean Cruises,Richard D. Fain,male,12013878,68146,176,3.6,1201.3878
Capital One,Richard D. Fairbank,male,19606474,83117,236,3.6,1960.6474
Equifax,Richard F. Smith,male,13879675,90324,154,3.5,1387.9675
Delta Air Lines,Richard H. Anderson,male,17589867,54804,321,4,1758.9867
Pulte Homes,"Richard J. Dugas, Jr.",male,7723041,69027,112,3.6,772.3041
Goodyear,Richard J. Kramer,male,17853097,61260,291,3.4,1785.3097
U.S. Bank,Richard K. Davis,male,19373076,43525,445,3.3,1937.3076
The J. M. Smucker Company,Richard K. Smucker,male,4886995,69428,70,3.8,488.6995
Texas Instruments,Richard K. Templeton,male,15043694,106878,141,3.8,1504.3694
KLA-Tencor,Richard P. Wallace,male,6889513,116394,59,3.3,688.9513
Dollar General,"Richard W. Dreiling,",male,9764152,32683,299,2.8,976.4152
Amgen,Robert A. Bradway,male,13961667,121202,115,3.5,1396.1667
